TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,
R1901,05000US18095,"Madison County, Indiana",64,"55,142","+/-4,169"
R1901,05000US18097,"Marion County, Indiana",64,"50,458","+/-1,301"
R1901,05000US18105,"Monroe County, Indiana",64,"52,453","+/-5,036"
R1901,05000US18109,"Morgan County, Indiana",64,"62,862","+/-3,026"
R1901,05000US18127,"Porter County, Indiana",64,"72,483","+/-5,146"
R1901,05000US18141,"St. Joseph County, Indiana",64,"53,456","+/-2,318"
R1901,05000US18157,"Tippecanoe County, Indiana",64,"49,352","+/-3,096"
R1901,05000US18163,"Vanderburgh County, Indiana",64,"51,350","+/-2,063"
R1901,05000US18167,"Vigo County, Indiana",64,"48,013","+/-4,825"
R1901,05000US18177,"Wayne County, Indiana",64,"47,944","+/-4,052"
R1901,05000US19013,"Black Hawk County, Iowa",64,"60,506","+/-3,838"
R1901,05000US19049,"Dallas County, Iowa",64,"94,885","+/-8,317"
R1901,05000US19061,"Dubuque County, Iowa",64,"62,178","+/-3,349"
R1901,05000US19103,"Johnson County, Iowa",64,"66,011","+/-6,105"
R1901,05000US19113,"Linn County, Iowa",64,"63,559","+/-3,472"
R1901,05000US19153,"Polk County, Iowa",64,"66,918","+/-2,399"
R1901,05000US19155,"Pottawattamie County, Iowa",64,"60,056","+/-4,129"
R1901,05000US19163,"Scott County, Iowa",64,"65,122","+/-4,166"
R1901,05000US19169,"Story County, Iowa",64,"63,107","+/-6,663"
R1901,05000US19193,"Woodbury County, Iowa",64,"58,945","+/-4,620"
R1901,05000US20015,"Butler County, Kansas",64,"61,951","+/-7,983"
R1901,05000US20045,"Douglas County, Kansas",64,"64,233","+/-7,902"
R1901,05000US20091,"Johnson County, Kansas",64,"91,771","+/-1,698"
R1901,05000US20103,"Leavenworth County, Kansas",64,"77,070","+/-6,989"
R1901,05000US20161,"Riley County, Kansas",64,"50,920","+/-4,062"
R1901,05000US20173,"Sedgwick County, Kansas",64,"59,716","+/-2,136"
R1901,05000US20177,"Shawnee County, Kansas",64,"59,441","+/-3,069"
R1901,05000US20209,"Wyandotte County, Kansas",64,"46,964","+/-2,826"
R1901,05000US21015,"Boone County, Kentucky",64,"76,443","+/-7,824"
R1901,05000US21029,"Bullitt County, Kentucky",64,"65,560","+/-4,706"
R1901,05000US21037,"Campbell County, Kentucky",64,"66,439","+/-6,672"
R1901,05000US21047,"Christian County, Kentucky",64,"47,445","+/-6,263"
R1901,05000US21059,"Daviess County, Kentucky",64,"50,964","+/-4,343"
R1901,05000US21067,"Fayette County, Kentucky",64,"58,356","+/-4,010"
R1901,05000US21093,"Hardin County, Kentucky",64,"57,463","+/-6,259"
R1901,05000US21111,"Jefferson County, Kentucky",64,"59,049","+/-2,142"
R1901,05000US21117,"Kenton County, Kentucky",64,"68,849","+/-5,525"
R1901,05000US21145,"McCracken County, Kentucky",64,"45,084","+/-5,521"
R1901,05000US21151,"Madison County, Kentucky",64,"49,421","+/-2,914"
R1901,05000US21185,"Oldham County, Kentucky",64,"97,968","+/-9,014"
R1901,05000US21227,"Warren County, Kentucky",64,"52,645","+/-3,318"
R1901,05000US22005,"Ascension Parish, Louisiana",64,"85,425","+/-8,633"
R1901,05000US22015,"Bossier Parish, Louisiana",64,"49,962","+/-5,029"
R1901,05000US22017,"Caddo Parish, Louisiana",64,"45,537","+/-4,614"
R1901,05000US22019,"Calcasieu Parish, Louisiana",64,"51,246","+/-4,232"
R1901,05000US22033,"East Baton Rouge Parish, Louisiana",64,"56,451","+/-3,017"
R1901,05000US22045,"Iberia Parish, Louisiana",64,"50,991","+/-6,945"
R1901,05000US22051,"Jefferson Parish, Louisiana",64,"56,069","+/-2,127"
R1901,05000US22055,"Lafayette Parish, Louisiana",64,"60,567","+/-4,217"
R1901,05000US22057,"Lafourche Parish, Louisiana",64,"51,339","+/-5,806"
R1901,05000US22063,"Livingston Parish, Louisiana",64,"62,187","+/-6,786"
R1901,05000US22071,"Orleans Parish, Louisiana",64,"45,615","+/-2,568"
R1901,05000US22073,"Ouachita Parish, Louisiana",64,"41,137","+/-3,928"
R1901,05000US22079,"Rapides Parish, Louisiana",64,"50,490","+/-3,384"
R1901,05000US22097,"St. Landry Parish, Louisiana",64,"38,681","+/-4,714"
R1901,05000US22103,"St. Tammany Parish, Louisiana",64,"69,076","+/-6,150"
R1901,05000US22105,"Tangipahoa Parish, Louisiana",64,"47,825","+/-8,611"
R1901,05000US22109,"Terrebonne Parish, Louisiana",64,"48,446","+/-7,344"
R1901,05000US23001,"Androscoggin County, Maine",64,"63,813","+/-6,580"
R1901,05000US23003,"Aroostook County, Maine",64,"38,768","+/-3,114"
R1901,05000US23005,"Cumberland County, Maine",64,"76,059","+/-3,695"
R1901,05000US23011,"Kennebec County, Maine",64,"55,389","+/-3,510"
R1901,05000US23019,"Penobscot County, Maine",64,"50,449","+/-3,052"
R1901,05000US23031,"York County, Maine",64,"66,648","+/-3,905"
R1901,05000US24001,"Allegany County, Maryland",64,"48,867","+/-5,616"
R1901,05000US24003,"Anne Arundel County, Maryland",64,"101,147","+/-2,184"
R1901,05000US24005,"Baltimore County, Maryland",64,"77,358","+/-3,160"
R1901,05000US24009,"Calvert County, Maryland",64,"112,380","+/-6,174"
R1901,05000US24013,"Carroll County, Maryland",64,"103,014","+/-5,381"
R1901,05000US24015,"Cecil County, Maryland",64,"76,441","+/-6,318"
R1901,05000US24017,"Charles County, Maryland",64,"103,932","+/-4,980"
R1901,05000US24021,"Frederick County, Maryland",64,"103,516","+/-3,391"
R1901,05000US24025,"Harford County, Maryland",64,"92,331","+/-5,670"
R1901,05000US24027,"Howard County, Maryland",64,"121,618","+/-4,896"
R1901,05000US24031,"Montgomery County, Maryland",64,"110,389","+/-3,032"
R1901,05000US24033,"Prince George's County, Maryland",64,"86,290","+/-2,875"
R1901,05000US24037,"St. Mary's County, Maryland",64,"87,947","+/-10,780"
R1901,05000US24043,"Washington County, Maryland",64,"59,140","+/-4,092"
R1901,05000US24045,"Wicomico County, Maryland",64,"54,402","+/-5,847"
R1901,05000US24510,"Baltimore city, Maryland",64,"50,177","+/-2,120"
R1901,05000US25001,"Barnstable County, Massachusetts",64,"85,042","+/-4,879"
R1901,05000US25003,"Berkshire County, Massachusetts",64,"58,895","+/-3,612"
R1901,05000US25005,"Bristol County, Massachusetts",64,"70,402","+/-3,622"
R1901,05000US25009,"Essex County, Massachusetts",64,"83,810","+/-3,144"
R1901,05000US25011,"Franklin County, Massachusetts",64,"60,018","+/-2,352"
R1901,05000US25013,"Hampden County, Massachusetts",64,"60,161","+/-2,453"
