GEOID,NAME,ESTIMATE
18105,"Monroe County, Indiana",47075
18107,"Montgomery County, Indiana",53610
18109,"Morgan County, Indiana",62462
18111,"Newton County, Indiana",53146
18113,"Noble County, Indiana",55033
18115,"Ohio County, Indiana",61148
18117,"Orange County, Indiana",45341
18119,"Owen County, Indiana",48667
18121,"Parke County, Indiana",48788
18123,"Perry County, Indiana",51064
18125,"Pike County, Indiana",52527
18127,"Porter County, Indiana",68044
18129,"Posey County, Indiana",62583
18131,"Pulaski County, Indiana",48370
18133,"Putnam County, Indiana",56169
18135,"Randolph County, Indiana",45601
18137,"Ripley County, Indiana",56295
18139,"Rush County, Indiana",50535
18141,"St. Joseph County, Indiana",50938
18143,"Scott County, Indiana",47123
18145,"Shelby County, Indiana",59214
18147,"Spencer County, Indiana",56998
